,lm_rmse,rf_rmse,silo_rf_rmse,slim_rf_rmse,nf_rf,gbrt_rmse,silo_gbrt_rmse,slim_gbrt_rmse,nf_gbrt
autompgs,0.4460502850645553,0.4164904350363438,0.37843789897798213,0.3813715174639512,6.44,0.3921332301679396,0.37455731711173307,0.37650119140005134,5.94
happiness,0.0005100387342506941,0.644463490935123,0.000511664069560364,0.0005106140602823244,7.740000000000002,0.3443008244591853,0.000508753839379209,0.0005051533329403279,7.459999999999999
winequality-red,0.813790951375271,0.7796303816037187,0.7792176527694636,0.7775575552073632,7.099999999999996,0.78339702321799,0.7861257007770871,0.7790555212533705,6.879999999999998
housing,0.5600342145447819,0.4856315012346422,0.4085321729443022,0.4193514903302364,9.980000000000004,0.3950049359052779,0.3959708960012413,0.4041347640575454,10.060000000000004
day,9.818188096773982e-16,0.2039456063470464,1.674381154598049e-05,5.8985953399971355e-06,2.4600000000000013,0.10377456935680873,1.264043448324694e-05,4.190413520025535e-06,3.020000000000002
music,0.9349698452662097,0.7416867197852028,0.8808481464500281,0.7636762611577518,5.559999999999998,0.6580742214620555,0.9008817834987295,0.8489776686948317,14.459999999999999
crimes,0.32719356001213595,1.0120852379833976,0.5310333660567119,0.33067755096865004,20.339999999999982,0.9676235685324751,0.4931706763506424,0.2950967452840036,21.619999999999994
communities,0.7813846348653855,0.7451826919723287,0.7240682810752914,0.68834629323947,54.13999999999999,0.7094959413390005,0.7511712195088125,0.7122233069046316,50.12
