"Dataset","SLIM RMSE","LIME Exp RMSE - 0.1","SLIM Exp RMSE - 0.1","LIME Exp RMSE - 0.25","SLIM Exp RMSE - 0.25"
"autompgs",0.37894,0.17762,0.04172,0.23476,0.12811
"communities",0.69207,0.40876,0.12976,0.93218,0.42695
"crimes",0.313,0.27591,0.04664,0.64055,0.18818
"day",1e-05,0.03358,0,0.03875,1e-05
"happiness",0.00051,0.04968,3e-05,0.0637,7e-05
"housing",0.40354,0.23792,0.06994,0.3182,0.19297
"music",0.75728,0.18898,0.18096,0.28502,0.27874
"winequality-red",0.77137,0.14881,0.0598,0.16868,0.11849
